id,name,position,team,now_cost,expected_points,total_points,minutes
585,Rodrigo Bentancur,MID,Spurs,53,2.8,8,90
586,Lucas Bergvall,MID,Spurs,54,1.82,1,29
587,Yves Bissouma,MID,Spurs,52,0.06,0,0
588,Wilson Odobert,MID,Spurs,53,1.47,0,0
591,Archie Gray,MID,Spurs,48,0.6,0,0
593,Pape Matar Sarr,MID,Spurs,49,1.71,6,12
595,Callum Olusesi,MID,Spurs,44,0.01,0,0
596,Dominic Solanke-Mitchell,FWD,Spurs,72,0.0,0,0
597,Richarlison de Andrade,FWD,Spurs,66,3.12,4,28
599,Dane Scarlett,FWD,Spurs,44,0.03,0,0
600,Alphonse Areola,GK,West Ham,43,2.68,2,90
602,Krisztián Hegyi,GK,West Ham,40,0.0,0,0
603,El Hadji Malick Diouf,DEF,West Ham,44,2.68,1,90
605,Maximilian Kilman,DEF,West Ham,44,3.19,1,90
606,Konstantinos Mavropanos,DEF,West Ham,44,0.0,0,0
608,Ollie Scarles,DEF,West Ham,44,0.67,0,24
609,Jean-Clair Todibo,DEF,West Ham,43,2.74,0,90
610,Aaron Wan-Bissaka,DEF,West Ham,43,2.21,1,78
612,Lucas Tolentino Coelho de Lima,MID,West Ham,59,4.16,1,90
613,Tomáš Souček,MID,West Ham,57,2.98,2,64
614,James Ward-Prowse,MID,West Ham,57,0.12,0,0
615,Crysencio Summerville,MID,West Ham,55,3.05,1,78
618,Guido Rodríguez,MID,West Ham,48,0.71,0,0
619,Luis Guilherme Lira dos Santos,MID,West Ham,49,0.97,0,0
620,George Earthy,MID,West Ham,45,0.3,0,0
621,Andy Irving,MID,West Ham,44,0.96,2,64
623,Freddie Potts,MID,West Ham,44,0.78,1,26
624,Jarrod Bowen,FWD,West Ham,78,3.67,5,90
625,Niclas Füllkrug,FWD,West Ham,56,0.0,0,0
626,Callum Marshall,FWD,West Ham,44,0.98,0,0
627,Sam Johnstone,GK,Wolves,45,3.48,2,90
628,José Malheiro de Sá,GK,Wolves,44,0.36,0,0
629,Daniel Bentley,GK,Wolves,40,0.0,0,0
630,Tom King,GK,Everton,40,0.0,0,0
631,Emmanuel Agbadou,DEF,Wolves,44,0.91,0,0
632,Matt Doherty,DEF,Wolves,44,3.31,0,0
633,Hugo Bueno López,DEF,Wolves,44,3.96,1,84
634,Yerson Mosquera Valdelamar,DEF,Wolves,44,0.34,0,0
635,Rodrigo Martins Gomes,DEF,Wolves,45,1.14,1,90
636,Santiago Ignacio Bueno,DEF,Wolves,44,3.69,4,90
637,Toti Gomes,DEF,Wolves,43,0.6,0,0
638,Ki-Jana Hoever,DEF,Wolves,40,0.37,1,75
641,Alfie Pond,DEF,Wolves,39,0.09,0,0
642,Hwang Hee-chan,MID,Wolves,59,3.08,1,22
643,André Trindade da Costa Neto,MID,Wolves,54,2.94,2,67
644,Jean-Ricner Bellegarde,MID,Wolves,53,1.68,1,90
645,Fer López González,MID,Wolves,53,1.21,0,0
646,João Victor Gomes da Silva,MID,Wolves,54,3.35,1,22
648,Marshall Munetsi,MID,Wolves,54,3.62,8,83
650,Tawanda Chirewa,MID,Wolves,44,0.05,0,0
651,Tom Edozie,MID,Wolves,44,0.05,0,0
652,Enso González Medina,MID,Wolves,44,0.13,0,0
654,Jørgen Strand Larsen,FWD,Wolves,64,4.43,6,90
657,Leon Chiwome,FWD,Wolves,44,0.0,0,0
658,Nathan Fraser,FWD,Wolves,44,0.02,0,0
659,Kyle Walker-Peters,DEF,West Ham,44,1.31,1,11
660,Anton Stach,MID,Leeds,51,3.75,0,0
661,Hugo Ekitiké,FWD,Liverpool,86,4.38,2,90
662,Cristhian Mosquera,DEF,Arsenal,54,2.15,1,45
663,Jhon Arias,MID,Wolves,52,3.63,2,67
664,Benjamin Lecomte,GK,Fulham,40,0.03,0,0
665,Lucas Estella Perri,GK,Leeds,45,3.72,1,90
666,Viktor Gyökeres,FWD,Arsenal,90,5.24,2,90
667,Adam Aznou,DEF,Everton,43,0.42,0,0
668,Granit Xhaka,MID,Sunderland,51,2.73,2,90
669,Dan Ndoye,MID,Nott'm Forest,58,2.7,2,82
670,Robin Roefs,GK,Sunderland,46,2.74,4,90
671,Callum Wilson,FWD,West Ham,59,0.1,2,65
672,Jorrel Hato,DEF,Chelsea,48,0.42,0,0
